id,title,author,publication_year,file_type,fragment,ISBN,genre,publisher,page_count
B001,Don Quijote de la Mancha,Miguel de Cervantes,1605,book,"En un lugar de La Mancha, de cuyo nombre no quiero acordarme, no ha mucho tiempo que vivía un hidalgo de los de lanza en astillero, adarga antigua, rocín flaco y galgo corredor. Una olla de algo más vaca que carnero, salpicón las más noches, duelos y quebrantos los sábados…",9788491050204,Novela,Francisco de Robles,1023
B002,Cien años de soledad,Gabriel García Márquez,1967,book,"Muchos años después, frente al pelotón de fusilamiento, el coronel Aureliano Buendía había de recordar aquella tarde remota en que su padre lo llevó a conocer el hielo. Rememoró también la aldea de Macondo, aislada entre montañas y ríos caudalosos, donde el realismo y la fantasía se entrelazaban en cada rincón del tiempo. Allí nacieron los Buendía y con ellos la estirpe de los cien años de soledad.",9780307474728,Realismo mágico,Editorial Sudamericana,417
B003,1984,George Orwell,1949,book,"Era un día luminoso y frío de abril, y los relojes daban las trece. Winston Smith, con la barbilla metida en el pecho para protegerse del viento helado, atravesó las puertas de cristal de su edificio residencial: el Ministerio de la Verdad. Su trabajo consistía en reescribir la historia para que encajara con los dictados del Partido, y ya sentía el peso de la vigilancia constante en cada paso que daba.",9780451524935,Ciencia ficción,Secker & Warburg,328
B004,Crimen y castigo,Fiódor Dostoievski,1866,book,"El joven Raskólnikov emergió de la taberna tambaleándose, con la mente nublada por el alcohol y la angustia. Aquella noche había planeado un crimen que creía justificado por la recompensa moral que esperaba obtener. Sin embargo, al sentir el martilleo de su propio corazón y al escuchar el crujido de la nieve bajo sus pies, se dio cuenta de que la culpa y el remordimiento pesarían sobre él mucho más que cualquier cadena impuesta por la ley.",9780140449136,Novela psicológica,The Russian Messenger,671
B005,El señor de los anillos: La comunidad del anillo,J.R.R. Tolkien,1954,book,"Cuando Bilbo Bolsón cumplió ciento once años, reunió a todos sus amigos en Bolsón Cerrado para celebrar un cumpleaños sin precedentes. Entre canciones y fuegos artificiales, no faltó la curiosidad de los más jóvenes hobbits por aquel legendario anillo que Bilbo guardaba celosamente. Nadie imaginaba entonces que aquel objeto, aparentemente inofensivo, desataría la forja de una gran alianza y el comienzo de un viaje que cambiaría la Tierra Media para siempre.",9780618574940,Fantástico,Allen & Unwin,479
B006,La Odisea,Homer,800 AC,book,"Tras dejar la ciudad de Troya, Odiseo navegó durante años entre peligros inimaginables: cíclopes, sirenas y vientos furiosos. En la isla de los lotófagos, sus hombres probaron la flor de loto y olvidaron su hogar hasta que Odiseo los arrastró de nuevo a las naves. Cada hazaña reforzaba su astucia, pero también acrecentaba la añoranza de Itaca y de su amada Penélope.",9780140268867,Epopeya clásica,Editorial Gredos,560
B007,Fahrenheit 451,Ray Bradbury,1953,book,"Guy Montag era bombero en un mundo donde el deber no era extinguir incendios, sino prenderlos para quemar libros. Cada llama simbolizaba la censura de ideas que pudieran perturbar la aparente felicidad de la sociedad. Pero al entablar conversación con Clarisse, una joven curiosa, surgió en él una inquietud que incendió su propia conciencia y lo convirtió en fugitivo de su propia profesión.",9781451673319,Ciencia ficción distópica,Ballantine Books,256
B008,Orgullo y prejuicio,Jane Austen,1813,book,"La familia Bennet vivía en Hertfordshire con la permanente preocupación de casar a sus cinco hijas. Cuando llegó al vecindario el orgulloso señor Darcy, Elizabeth Bennet lo encontró altivo y distante. Sin embargo, tras sucesivos encuentros en bailes y conversaciones ingeniosas, descubrieron que las primeras impresiones a menudo ocultan profundidades insospechadas del corazón.",9780141439518,Novela romántica,Thomas Egerton,432
B009,El extranjero,Albert Camus,1942,book,"Meursault recibió la noticia de la muerte de su madre con una calma desconcertante para quienes lo rodeaban. Al día siguiente, la indiferencia de su conducta lo llevó a un crimen inexplicable en una playa de Argel. Durante el juicio, su falta de conformidad con las emociones esperadas se convirtió en el verdadero motivo de condena, reflejando el absurdo de la existencia humana.",9780679720201,Existencialismo,Gallimard,123
B010,Matar a un ruiseñor,Harper Lee,1960,book,"Scout Finch crece en un pueblo sureño marcado por prejuicios raciales mientras su padre, Atticus, defiende a un hombre negro acusado injustamente. A través de los ojos de la niña, se revela la inocencia destruida por la intolerancia y la valentía de quien desafía al rebaño. El juicio y sus consecuencias grabarán en Scout la lección de que la verdadera justicia a menudo lucha contra la corriente del miedo y la ignorancia.",9780061120084,Ficción,JB Lippincott & Co.,281
