id,title,author,publication_year,file_type,fragment,degree,institution,advisor,bibliography,abstract
T001,Influencia de la tecnología gravitacional en la navegación espacial,Ana Martínez,2024,thesis,"El uso de gravimotores de cuarta generación ha permitido reducir los tiempos de viaje interplanetario de semanas a días, cambiando por completo la logística de las misiones a Marte. Sin embargo, los efectos secundarios sobre la estructura ósea de los tripulantes aún no se comprenden del todo ni sus posibles mitigaciones.",Maestría,Instituto Espacial de México,Dr. Carlos Ramírez,"Pérez (2019); González (2021); Smith (2022)","Esta tesis estudia los impactos biomecánicos y operativos de los gravimotores en misiones tripuladas, proponiendo un protocolo de rehabilitación ósea basado en ejercicios de contragravedad."
T002,Modelado computacional de membranas biológicas con álgebra de tensores,Luis Gómez,2023,thesis,"Se implementó un algoritmo de tensores de orden superior para simular la mecánica de membranas celulares sometidas a fuerzas osmóticas. Los resultados muestran deformaciones no lineales que coinciden con experimentos de micropipeteo, validando el modelo.",Doctorado,Universidad Nacional Autónoma de México,Dr. María López,"Fernández (2018); Chen (2020); Rodríguez (2022)","La investigación desarrolla y valida un modelo numérico avanzado para el estudio de deformaciones en membranas biológicas, con aplicaciones en nanotecnología médica."
T003,Optimización de redes neuronales profundas para reconocimiento de voz en español,María Torres,2025,thesis,"Se evaluaron arquitecturas de redes LSTM y Transformer en un corpus de habla hispana de más de 1000 horas, logrando una reducción del 15% en la tasa de error de palabra frente a modelos previos. Además, se introdujo una técnica de atención jerárquica que mejora la captura de dependencias a largo plazo.",Doctorado,Instituto Tecnológico de Monterrey,Dr. Jorge Villanueva,"Hernández (2021); Kim (2023); Zhang (2024)","Esta tesis propone mejoras arquitectónicas y de entrenamiento para sistemas ASR en español de alta precisión, centradas en la adaptación de mecanismos de atención."
T004,Análisis de la eficiencia energética en paneles solares fotovoltaicos de film delgado,Carlos Ruiz,2022,thesis,"Los paneles de capa delgada mostraron una degradación de eficiencia del 2% anual en condiciones de alta humedad, contrastando con el 0.5% de los monocristalinos. Las pruebas de ciclado térmico indicaron que el encapsulado flexible influye en la durabilidad más que el sustrato.",Maestría,Universidad de Guadalajara,Dr. Laura Sánchez,"Martínez (2017); Singh (2019); Nguyen (2021)","Se presenta un estudio comparativo de degradación en paneles fotovoltaicos de diferentes tecnologías, proponiendo mejoras en materiales de encapsulado para prolongar su vida útil."
T005,Desarrollo de un sistema de seguimiento ocular para interfaces neuronales,Elena Vargas,2024,thesis,"Se diseñó un módulo de visión infrarroja capaz de capturar movimientos oculares a 120 fps con una precisión de 0.1°, integrándose con un prototipo de interfaz cerebro-computadora. Los usuarios pudieron seleccionar elementos en pantalla mediante fijaciones prolongadas, abriendo nuevas vías para accesibilidad.",Doctorado,Centro de Investigación en Neurociencias,Dr. Andrés Molina,"García (2020); Lopez (2022); Brown (2023)","La tesis describe la concepción, construcción y evaluación de un sistema de eye-tracking de alta velocidad para su uso en interfaces que interpretan señales neuronales, con énfasis en la mejora de la experiencia de usuario."
T006,Diseño de algoritmos cuánticos para optimización combinatoria,José Herrera,2025,thesis,"Se propuso un algoritmo híbrido cuántico-clásico basado en QAOA mejorado con técnicas de reinicio adaptativo, mostrando velocidad de convergencia superior en problemas NP-hard de tamaño medio. Las simulaciones en simuladores de 30 qubits indicaron una mejora del 20% en la calidad de la solución frente a enfoques puramente clásicos.",Doctorado,Centro de Computación Cuántica,Dr. Isabel Torres,"Farhi (2014); Preskill (2018); Montanaro (2021)","Esta tesis presenta y valida un framework de optimización cuántica para problemas combinatorios, combinando estrategias de reinicio adaptativo y ajuste de parámetros en QAOA."
T007,Impacto de microplásticos en la productividad de fitoplancton marino,Ana Gómez,2023,thesis,"Se realizaron cultivos de diatomeas expuestas a concentraciones de microplásticos de poliestireno y polietileno, encontrando una reducción del 30% en la tasa de crecimiento a 48 h. El análisis de micropatrones reveló agregación de partículas en las superficies celulares, alterando la fotosíntesis y el intercambio iónico.",Maestría,Instituto de Oceanografía,Dr. Rafael Beltrán,"Andrady (2011); Cole (2015); Frias (2016)","La tesis investiga los efectos ecotoxicológicos de microplásticos en diatomeas marinas, proponiendo un modelo de transporte y acumulación de partículas en ecosistemas costeros."
T008,Reconstrucción 3D de escenas urbanas usando LIDAR móvil,Mariana Ruiz,2024,thesis,"Se integraron datos de LIDAR montado en vehículos autónomos con técnicas de SLAM para generar nubes de puntos detalladas de zonas urbanas. El método de filtrado multiescala permitió reducir el ruido en un 40%, mejorando la precisión de los modelos tridimensionales hasta 5 cm en distancia.",Doctorado,Universidad Politécnica de Valencia,Dr. Luis Fernández,"Kunz (2016); Zlot (2014); Durrant-Whyte (2006)","Esta tesis desarrolla un sistema de mapeo urbano 3D basado en sensores LIDAR móviles y SLAM, optimizado para entornos densamente poblados."
T009,Análisis de la resistencia sísmica de edificios de adobe reforzado,Carlos Méndez,2022,thesis,"Se evaluó el comportamiento de muros de adobe con refuerzos de bambú mediante ensayos dinámicos, registrando una mejora del 50% en capacidad de deformación antes del colapso. Las simulaciones en elementos finitos concordaron con los resultados experimentales, validando el modelo propuesto.",Maestría,Universidad de los Andes,Dr. Patricia González,"Bhatt (2000); Gutiérrez (2010); Miri (2014)","La investigación propone y valida técnicas de refuerzo para construcciones tradicionales de adobe, aumentando su seguridad sísmica con materiales locales."
T010,Visión por computadora para diagnóstico de enfermedades foliares en cultivos,Laura Sánchez,2025,thesis,"Se entrenó una red CNN personalizada sobre imágenes multispectrales de hojas de maíz, alcanzando una precisión del 92% en la clasificación de siete tipos de enfermedades foliares. El uso de segmentación U-Net previa mejoró la detección de manchas pequeñas en un 15%.",Doctorado,INIFAP,Dr. Miguel Ortega,"Zhang (2019); Ronneberger (2015); Mohanty (2016)","Esta tesis desarrolla un sistema de diagnóstico automático para enfermedades foliares en cultivos agrícolas, combinando imágenes multispectrales y aprendizaje profundo."
